                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8599,                 4.6246,                 4.0297,                0.00317,                0.16059,                0.00627,                0.00168,                   3.73,                 4.2273,                 3.4682,              0.0002206,              0.0002206,              0.0002206
                      2,                 3.0293,                 3.6507,                 3.2253,                0.10964,                0.08223,                0.01242,                0.00437,                 3.0312,                 4.2882,                 3.0662,               0.000421,               0.000421,               0.000421
                      3,                 2.5034,                  3.143,                 2.6622,                0.35929,                0.32688,                0.19288,                0.09342,                 1.9013,                 2.7419,                 2.0915,              0.0005994,              0.0005994,              0.0005994
                      4,                 2.1938,                 2.7441,                 2.3228,                0.41378,                0.50918,                0.35763,                0.16748,                 1.8381,                 2.1968,                 2.0448,             0.00056795,             0.00056795,             0.00056795
                      5,                 1.9944,                 2.4554,                 2.1311,                0.35023,                0.58954,                0.42146,                0.21209,                 1.7326,                 2.0475,                 1.9228,             0.00056795,             0.00056795,             0.00056795
                      6,                 1.8917,                 2.3139,                 2.0282,                0.54037,                0.67114,                0.63856,                0.32765,                 1.6145,                 1.6012,                 1.7663,             0.00053493,             0.00053493,             0.00053493
                      7,                 1.8214,                 2.1689,                 1.9488,                0.64601,                0.66084,                0.70605,                0.37218,                 1.5338,                 1.5141,                 1.7205,             0.00050192,             0.00050192,             0.00050192
                      8,                 1.7633,                 2.0764,                 1.8968,                0.64589,                0.77344,                0.73968,                 0.3845,                 1.5714,                 1.4249,                 1.7051,              0.0004689,              0.0004689,              0.0004689
                      9,                 1.7377,                 2.0447,                  1.866,                0.66321,                0.73156,                0.74558,                 0.3887,                  1.568,                 1.4281,                 1.6943,             0.00043588,             0.00043588,             0.00043588
                     10,                 1.6962,                 1.9654,                 1.8248,                0.73194,                0.80529,                0.78059,                0.41992,                 1.5109,                 1.3863,                 1.6374,             0.00040287,             0.00040287,             0.00040287
                     11,                 1.6258,                 1.8576,                 1.8039,                0.73118,                0.79101,                0.79726,                 0.4342,                 1.4552,                 1.3564,                 1.6124,             0.00036985,             0.00036985,             0.00036985
                     12,                 1.5976,                 1.7959,                  1.774,                0.77327,                 0.8061,                0.82219,                0.45862,                 1.4728,                  1.267,                 1.6133,             0.00033683,             0.00033683,             0.00033683
                     13,                  1.573,                  1.754,                   1.75,                0.83183,                 0.8337,                0.85347,                0.47757,                 1.4466,                 1.1787,                  1.601,             0.00030382,             0.00030382,             0.00030382
                     14,                 1.5687,                  1.733,                 1.7464,                0.78991,                0.85502,                0.84788,                0.47962,                 1.4255,                  1.198,                 1.5857,              0.0002708,              0.0002708,              0.0002708
                     15,                 1.5401,                 1.6907,                 1.7223,                0.81565,                0.86545,                 0.8591,                0.47766,                 1.4393,                 1.1495,                 1.5772,             0.00023779,             0.00023779,             0.00023779
                     16,                 1.5223,                 1.6704,                 1.7001,                0.82849,                0.85446,                0.86367,                0.49458,                 1.4086,                 1.1134,                  1.549,             0.00020477,             0.00020477,             0.00020477
                     17,                 1.5159,                 1.6484,                 1.6943,                0.79759,                 0.8828,                0.87505,                 0.5024,                 1.3945,                 1.1294,                   1.54,             0.00017175,             0.00017175,             0.00017175
                     18,                 1.5092,                 1.6483,                 1.6942,                0.85912,                0.84684,                0.87727,                 0.5146,                  1.376,                 1.0988,                 1.5241,             0.00013874,             0.00013874,             0.00013874
                     19,                 1.4928,                 1.6141,                  1.674,                0.84147,                0.86677,                0.87774,                0.50898,                 1.3764,                 1.0959,                  1.526,             0.00010572,             0.00010572,             0.00010572
                     20,                 1.4794,                 1.5977,                 1.6631,                0.84732,                  0.874,                0.89007,                0.52121,                 1.3649,                 1.0735,                 1.5197,             7.2703e-05,             7.2703e-05,             7.2703e-05
