                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8643,                 4.6052,                  4.029,                0.54847,                 0.0577,                0.00368,                0.00116,                 3.6216,                 4.1194,                 3.4179,              0.0002206,              0.0002206,              0.0002206
                      2,                 3.0418,                 3.6544,                 3.2228,                0.48689,                 0.0999,                0.05007,                0.02206,                 2.5663,                 3.4702,                 2.6382,             0.00043854,             0.00043854,             0.00043854
                      3,                 2.5021,                 3.1434,                 2.6715,                0.25349,                0.37373,                0.15447,                0.07135,                 1.9307,                  3.006,                 2.1428,             0.00065209,             0.00065209,             0.00065209
                      4,                  2.197,                 2.7659,                 2.3355,                0.37929,                0.49283,                0.34935,                 0.1745,                 1.7897,                 2.1404,                 1.9889,             0.00064719,             0.00064719,             0.00064719
                      5,                 1.9847,                 2.4723,                 2.1391,                0.40804,                0.59664,                0.45483,                0.22759,                 1.6605,                  1.975,                 1.8477,             0.00064719,             0.00064719,             0.00064719
                      6,                 1.8877,                 2.3238,                 2.0351,                0.49329,                0.69269,                0.61647,                0.33382,                 1.5375,                 1.6904,                  1.732,             0.00064059,             0.00064059,             0.00064059
                      7,                  1.814,                 2.1722,                 1.9498,                0.57319,                0.70163,                0.70853,                0.37747,                 1.5632,                 1.4807,                  1.719,             0.00063398,             0.00063398,             0.00063398
                      8,                 1.7664,                 2.0921,                 1.9039,                0.69349,                0.77291,                0.76562,                0.39316,                 1.5861,                  1.475,                 1.7191,             0.00062738,             0.00062738,             0.00062738
                      9,                 1.7358,                 2.0523,                 1.8701,                0.65733,                0.75931,                0.74643,                0.39601,                 1.5221,                 1.4659,                 1.6784,             0.00062078,             0.00062078,             0.00062078
                     10,                 1.6819,                 1.9704,                 1.8247,                0.74612,                 0.8038,                0.79743,                0.42677,                 1.5302,                 1.3173,                 1.6721,             0.00061417,             0.00061417,             0.00061417
